,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0.052787307,0.053348169,0.053798572,0.054246869,0.054703352,0.055172008,0.05565488,0.056153185,0.056667712,0.057199012,0.057747484,0.058313432,0.058897089,0.059498643,0.060118245,0.060756019,0.06141207,0.062086485,0.062779341,0.063490702,0.064220626
1,0.056446995,0.057046191,0.057531205,0.058014809,0.058507717,0.059014077,0.059536017,0.060074802,0.060631255,0.061205948,0.061799298,0.062411619,0.063043156,0.063694102,0.064364616,0.065054827,0.065764844,0.066494759,0.067244649,0.068014583,0.068804619
2,0.060529981,0.061171902,0.061695784,0.062219096,0.062752996,0.063301808,0.063867748,0.064452131,0.065055817,0.065679401,0.066323317,0.066987893,0.067673383,0.06837999,0.069107877,0.06985718,0.070628011,0.071420468,0.07223463,0.073070569,0.073928346
3,0.065105989,0.065795745,0.066363477,0.066931651,0.067511899,0.068108728,0.068724448,0.069360431,0.070017573,0.070696495,0.071397649,0.072121376,0.072867942,0.073637557,0.074430394,0.075246592,0.07608627,0.076949528,0.077836449,0.078747109,0.079681571
4,0.070259715,0.071003289,0.071620738,0.072239847,0.072872755,0.073524162,0.07419648,0.074891142,0.07560908,0.076350944,0.077117204,0.077908218,0.078724263,0.079565557,0.08043228,0.08132458,0.082242578,0.083186379,0.084156071,0.085151733,0.086173429
5,0.076094793,0.076899236,0.077573352,0.078250598,0.078943652,0.079657424,0.080394433,0.081156173,0.081943621,0.082757453,0.083598162,0.08446612,0.085361617,0.086284881,0.0872361,0.088215428,0.089222992,0.090258902,0.091323249,0.092416115,0.093537569
6,0.082739006,0.083612683,0.084351755,0.085095737,0.08585788,0.086643319,0.087454685,0.088293543,0.089160912,0.090057499,0.09098382,0.091940263,0.092927131,0.093944665,0.094993059,0.096072473,0.097183042,0.09832488,0.099498084,0.100702737,0.101938912
7,0.090351187,0.091304099,0.092118088,0.092939143,0.093781134,0.094649431,0.09554679,0.096474846,0.097434666,0.09842699,0.099452359,0.100511178,0.101603765,0.10273037,0.103891198,0.105086416,0.106316166,0.107580566,0.108879717,0.110213707,0.111582613
8,0.099130447,0.100174645,0.101075608,0.101986265,0.102921142,0.103885866,0.104883323,0.105915226,0.106982694,0.1080865,0.109227211,0.110405253,0.111620957,0.112874587,0.114166356,0.11549644,0.116864986,0.118272119,0.119717946,0.121202557,0.122726034
9,0.109328593,0.110478715,0.111481372,0.112496932,0.11354063,0.114618364,0.115733162,0.116886821,0.118080513,0.11931505,0.120591025,0.121908886,0.123268979,0.124671581,0.126116916,0.127605169,0.129136494,0.130711022,0.132328863,0.133990115,0.13569486
10,0.121266968,0.122540956,0.123663427,0.124802744,0.125974899,0.127186086,0.128439483,0.129736976,0.131079796,0.132468796,0.133904599,0.135387673,0.136918384,0.138497022,0.140123821,0.141798976,0.143522648,0.145294975,0.147116074,0.148986045,0.150904977
11,0.135359424,0.136779473,0.138044268,0.139330777,0.140655807,0.142025871,0.143444306,0.144913099,0.146433539,0.148006526,0.149632714,0.151312594,0.153046552,0.154834891,0.156677859,0.15857566,0.160528464,0.162536414,0.164599635,0.166718231,0.168892297
12,0.152143748,0.153737577,0.155172922,0.156636025,0.158144577,0.159705429,0.161322097,0.162996667,0.1647305,0.166524541,0.168379478,0.17029583,0.172274,0.17431431,0.17641702,0.178582343,0.180810459,0.18310152,0.185455656,0.187872977,0.190353582
13,0.172324615,0.17412718,0.175768799,0.177445734,0.179176628,0.180968702,0.182825658,0.184749698,0.186742254,0.188804321,0.190936626,0.193139715,0.195414014,0.19775986,0.200177527,0.202667242,0.205229194,0.207863542,0.210570422,0.213349953,0.216202236
14,0.196831719,0.19888752,0.200781047,0.202719405,0.204722269,0.206797257,0.208948279,0.211177655,0.213486899,0.21587706,0.218348905,0.22090301,0.223539824,0.226259703,0.229062938,0.231949767,0.234920388,0.237974971,0.241113659,0.244336577,0.247643833
15,0.226896552,0.229262731,0.231466938,0.233728045,0.236066841,0.238491379,0.24100579,0.243612526,0.246313187,0.249108882,0.25200042,0.254988412,0.258073331,0.261255555,0.264535389,0.267913085,0.271388854,0.274962874,0.278635298,0.282406255,0.286275862
16,0.264148191,0.266898607,0.269489671,0.27215304,0.274910719,0.277771232,0.28073895,0.283816471,0.287005485,0.290307168,0.293722375,0.297251754,0.300895805,0.304654927,0.308529445,0.312519625,0.316625689,0.320847827,0.325186199,0.329640945,0.334212185
17,0.310717335,0.313947711,0.317024582,0.32019354,0.323477913,0.326886738,0.330424647,0.334094395,0.337897775,0.341836032,0.345910075,0.350120587,0.354468102,0.358953041,0.363575748,0.368336506,0.373235551,0.378273083,0.383449272,0.388764267,0.394218195
18,0.369305978,0.373139758,0.376830288,0.380638378,0.3845888,0.388691153,0.392950356,0.397369333,0.401949989,0.406693647,0.41160127,0.416673587,0.421911161,0.427314442,0.432883794,0.438619518,0.444521864,0.450591046,0.456827243,0.463230613,0.469801291
19,0.443099925,0.447693238,0.452159355,0.456775749,0.461568777,0.466548648,0.471720597,0.477087736,0.48265209,0.488415067,0.494377692,0.500540739,0.506904809,0.51347038,0.520237839,0.527207506,0.534379648,0.541754491,0.549332227,0.557113024,0.565097025
20,0.535223748,0.540764788,0.546201812,0.551830591,0.557679222,0.563758584,0.570074261,0.576629567,0.583426663,0.590467049,0.597751817,0.605281793,0.613057616,0.621079797,0.629348749,0.637864812,0.64662827,0.655639365,0.664898302,0.674405259,0.68416039
21,0.647124968,0.653816806,0.660435387,0.667296633,0.674430554,0.681848774,0.689557253,0.697559533,0.705857921,0.71445402,0.723348996,0.732543732,0.742038911,0.751835077,0.761932672,0.772332059,0.783033542,0.794037379,0.805343789,0.816952962,0.828865063
22,0.77501792,0.783024873,0.790994697,0.799265571,0.80786962,0.816819287,0.826120952,0.835778406,0.84579412,0.856169809,0.866906721,0.878005801,0.889467781,0.901293242,0.913482659,0.926036419,0.938954849,0.952238224,0.965886778,0.979900715,0.994280211
23,0.904386329,0.913723981,0.923058365,0.93275233,0.942840342,0.953335752,0.964245406,0.975573372,0.9873223,0.999494031,1.012089905,1.025110933,1.038557903,1.052431438,1.066732046,1.081460145,1.096616083,1.112200156,1.128212617,1.144653682,1.161523542
24,1.006721982,1.017113777,1.027519201,1.038328538,1.049578861,1.06128453,1.073452908,1.086088372,1.09919377,1.112771083,1.126821753,1.141346869,1.156347274,1.171823642,1.187776519,1.204206352,1.221113519,1.238498336,1.256361074,1.274701969,1.293521224
25,1.048362529,1.059186949,1.070007578,1.081245321,1.092940159,1.105107578,1.117755521,1.130888705,1.144510206,1.158622158,1.173226115,1.188323252,1.203914481,1.220000526,1.236581975,1.253659313,1.271232945,1.289303214,1.307870412,1.326934791,1.346496573
26,1.013440828,1.023913819,1.034322713,1.045122732,1.056357118,1.068042618,1.080187823,1.092797837,1.105875982,1.11942457,1.133445281,1.147939385,1.162907867,1.178351513,1.194270957,1.210666725,1.227539253,1.244888913,1.262716021,1.28102085,1.299803639
